,DOCS
1263,Produto qualidade entrega muito demorada
1264,Entrega rápida produto ótimo estado
1267,Gostaria saber produto mudou embalagem Pois comprei embalagem vermelha recebi embalagem florida Preciso saber mesmo produto
1269,Lavabo bem bonito igual descrição veio mancha bem pequena problema recomendo
1271,produto entregue totalmente diferente comprado
1275,Ótimo TDS aspectos
1279,Ainda aguardando
1282,Aida nao recebi produto
1283,Recebi antes data prometida Recomendo loja
1284,Demorou quase dias tempo
1287,Depende possa avaliar resolverem problema pos compra correios só entregarão pacote contendo peneus
1291,Gostei muito
1292,Bom
1294,Boa tarde Tive problemas pedido sim Veio mosqueteiro errado Pedi tamanho Queen arrastasse até chão círculo bem grande Veio pequeno cama casal nor
1296,agora perfeito produto entrega prazo
1298,Comprei relógios só entregue
1299,produto ok recebido dentro prazo bem antes previsto
1300,entrega antecipado mais panelas pressão veio suporte quebrado
1304,ok
1306,Ótimo produto Recomendo
1307,ENTREGA MUITO DEMORADA COMPREI EM ATÉ AGORA NÃO RECEBI OS PRODUTOS
1311,bom
1314,produto chegou conforme anunciado Gostei
1315,Dentro prazo informacoes encaminhamento produto forma clara
1319,Excelente Recomendo
1323,produto enteque veio Errado
1325,NÃO RECEBI PRODUTO PRODUTO CONSTA ENVIADO CORREIO DE RIBEIRÃO PRETO CORREIO NÃO RECEBEU PRODUTO ENVIE VARIAS MENSAGEM targaryen NÃO OBTIVE targaryen SUJANDO SEU NOME
1326,Gostei
1329,produto veio fora especificação calota vendida tinha símbolo Citroën calota veio símbolo
1335,Então conprei gostei nao nao achei melhor
1336,Loja confiança chegou praso
1338,amei produto super fácil manusear lannister PARABÉNS chegou BEM ANTES prazo
1342,Super recomendo produtos lindos😍😍
1346,Pedi carteiras veio defeito veio errada ñ pedi pedi reembolso creio correrá bem
1348,Motor ótimo só não vem cremalheiras junto
1349,Gostei muito produto Entrega muito rápida
1352,Excelente produto entrega chegou antes prazo previsto Ótimo
1356,produto chegou antes prazo estabelecido
1357,Excelente chegou antes combinado parabéns
1359,Gostei muito produto nao tem ardencia olhos cheiro alisou fos cabelos mais acho segunda vez ficara super liso
1360,Entregou antes prazo estipulado sempre compro site
1362,APESAR DE NÃO TER BOM ACABAMENTO PRODUTO BEM FUNCIONAL
1367,Entrega perfeita até antes prazo produto perfeito estado ótima qualidade
1372,aaa
1378,Ótimo produto
1380,Veio certinho super rápido Amei lustre gente
1383,Bonito bom chegou rápido
1385,Recebi apenas detector metal compra unidades podemos resolver Aguardo orientações
1388,Boa noite compra diz wireless Multilaser mais não vim modem conecta USB
1393,Satisfeito
1394,Chegou dentro prazo Muito bonito Valeu
1395,Muito bom recomendo
1400,otimi produto entrega excelente
1401,legal entrega rapida
1402,Comprei pares aliança chegou apenas unidades masculinas casa aguardando resposta empresa envio unidades femeninas não cheopu
1403,Acho deveriam mudar modo entrega Correios deixam muito desejar Vieram única vez entregar produto domingo tarde mandaram volta pro remetente produto
1406,ACHO DEVERIA NOS ENFORMAR MAIS RAPIDO PRODUTO
1409,Amei
1410,recebi loja apenas pendentes Paguei boleto antecipado produto não veio Tratase Pendente Alumínio Meia Bola Medio Escovado valor R Quero volta
1414,Vcs deixando desejar comprei produtos entregar ainda cancela pedido autorização
1419,Produto entregue antes prazo Bom custo benefício
1420,Não recebi encomenda lojaestou esperando enviarem proteínas
1422,Além ñ cumprir prometido caso aentrega loja ainda dá esclarecimento errado informado endereço errado
1423,produto entregue antes prazo aprovado
1427,Fiz umacompra tem mesmo código só veio comprei colcha chegou certinho não veio saia cama box
1428,Chegou bem antes prazo determinado certinho amei produto super recomendo
1430,atendeu expectivas
1432,Compro confio comprar sempre chegaram prazo até antes nunca tive problemas recomendo
1434,rapidez entrega
1435,Mercadoria conforme pedido Chegou antes prazo Recomendo
1438,demorando muito vez
1442,Produto entregue leigos como peças vêm desmontadas devemos montar biciclieta necessitam cola permanecer pé melhor opção cola madeira
1444,Prazo esgotado Produto ainda não entregue
1446,Bom resma chegou muitobem embalada dentro prazo afora testar verificar qualidade papel
1448,Produto correto entregue prazo conforme acordado recomendo
1450,Super recomendo agradável surpresa nível atendimento Sensacional
1451,Parabéns loja lannister parceiro produto veio bem embalado lindo grande jeito queria cor marrom conforme mostra foto amei pendente
1452,Recebi apenas perfume perfume H2O perfume Ototemo NÃO recebi ainda preocupada pedido consta recebi perfumes
1455,Maravilhosa
1461,produto chegou bem antes prazo defeito veio quebrado lugar fazer encaixar Muito bonitinha frágil Tentei realizar troca site não consegui
1463,ainda nao recebi ultima informacao p produto dia
1464,película vidro veio defeito não conseguindo resolver problema
1465,Ainda falta capa
1468,adorei muito
1475,Bom
1478,Entrega rapida perfume bom ja tive melhores valor vale pena
1485,mercadoria levar mais menos dias chegar demorou quase meses
1487,Ótimo produto satisfeito compra
1488,PRODUTO BOM QUASE MESES RECEBER
1489,Só veio capa comprei aí paguei Mais reais capa
1490,bom tmb
1493,veio prazo funcionando muito bem
1494,Não original infelizmente pós vendas stark extremamente ruim já entrei contato até agora aí consegui ligar fornecedor parceiro já devolveu dinheiro
1496,maravilhoso
1497,Entrega rápida pedido entregue conforme solicitado Recomendo
1501,Já entrei contato lannister telefone falam mandar link direto parceiro saber detalhes entrega conta link n veio Péssimo suporte cliente
1503,CUMPRIRAM
1504,Apesar tamanho escova leve fácil manuseio
1507,Muito frágil funciona certinho
1509,Comunicação respeito consumidor rarocomprar aqui sempre
1513,Não recebi produto não recebi justificativa vendedor entrei contato até agora não obtive resposta
1515,muito satisfeita rapidez chegou produto bem antes previsto
1519,Melhor fantasia vida
1520,Loja eficienteentrega correta antes prazo
1525,ótima
1526,recomendaria loja Chegou dentro prazo ótima mercadoria
1527,Recebi jarra Cafeteria mesma não modelo comprei comprei jarra cafeteira Electrolux CMM20 recebi não modelo Cafeteria
1528,adorei veio certinho muito obrigado
1529,Entrega feita produto queria muito bom
1532,bom produto veio neum defeito bom
1533,Ainda não recebi capa sofá aguardando
1534,correio nao entregou endereço tivemos retirar caixa aberta churrasqueira amassada
1543,Chegou super rápido bem embalado
1545,Melhor site compras internet
1546,Chegou muito antes prazo
1548,Ainda não recebi produto varios dias fiz compra entrega demorada compras faço online ainda aguardando entrega
1552,Não instalei ainda
1553,Chegou antes data prevista ok
1555,tinha aberto reclamação solicitando reenvio ontem tarde aconteceu grato
1558,Boa compra recomendo
1561,Infelizmente compensa pagar pouco mais comprar loja física cidade lojas inclusive stark péssimo prazo entrega produtos
1563,Produto dentro dom esperado
1570,Só ñ gostei coisa relógio só parando bateria fraca novicimo relógio já parando
1573,troca mais rápida mundo realmente impressionado eficiência stark Não tive burocracia produto troca casa piscar olhos Parabéns
1575,Ótimo produto Prazo rápido
1577,Ainda não pode avaliar produto aguardando Matriz botões também comprados site Lojas lannister estranhando fato nota fiscal produtos não ter emitida
1578,Muito bom
1585,Entrega dentro prazo produto excelente condição
1586,Produto igual anunciado super satisfeitaFunciona perfeitamente
1587,Recebi produto prazo bem embalado
1589,Cofre bom espaço interno prateleira facilitar organização Bom produto
1592,Já solicitei devolução produto Veio amassado parece houve queda
1593,Não recebi produto comprei paguei
1594,chegou antes prazo produto bom
1596,Respondi sim recebi produto correto falta opção ainda não vi produto Não quis abrir embalagem presente haja desconformidade entrarei contato
1598,acordo propósitos
1602,mp3 player muito bonito pequeno Contudo som muito ruim ruídos chiados Troquei fone ouvido apple não mudou problema qualidade produto mesmo
1603,
1604,Produto bonito parece boa qualidade imagens site produto parecia mais robusto elegante cor uniforme tom varia
1607,Ainda não instalei chegou prazo certinho
1609,Ótimo produto entrega muito rápida
1612,Ótimo excelente produto recomendo
1613,nao veio produto pedi veio quite marmitas peças comprei jogo panelas
1614,experiência compra online entrega boas produto não atendeu expectativas dificuldades troca devolução
1620,parabenizo qualidade produto pontualidade entrega
1624,Ainda não recebi faço
1625,Recebi produto errado Comprei original recebi produtos paralelos Reciclados Picareta
1629,Produto entregue divergente adquirido não deram resposta solicitação feita site Tratase presente não pude entregar aguardo troca mesmo
1631,Tapete lindo personalizado bordado volta logo classic borracha PVC mt bom fácil limpar
1632,Produto bem acabado 👍🏻
1633,produto problemas defeito
1634,Comprei bonecas baby kiss Sid dia entregaram somente boneca não veio junto nota fiscalcaixa amassada também não contato lannister telefone só ocupado
1635,ótimo produto entrega super rápida
1636,Recebi i procuto antes prazo determinado
1639,BOA LOJA CUMPRIU ANUNCIO ENTREGA FOI SUPERRÁPIDO
1640,Produto chegou antes prazo
1643,tapete muito lindo material muito bom super fofinho entrega dentro prazo so embrulho veio assusta tao pequeno parece tem lindo tapete dentro
1645,Ótima loja produto muito bonito entrega antes prazo Recomendo
1646,Bom
1653,Hoje mercado encontramos roteador baixa potência aparelho muito bom potente
1654,forma geral produto bom som sai muito baixo torna produto produto média qualidade
1659,produto entregue prazo até semana antes houve imprevisto entrega tentei entrar contato vezes sucesso fiquei mais semana saber
1660,Muito bom amei produto
1666,Ainda não recebi relógios ainda aguardandoobrigada
1670,Nao possível verificar site lados almofada preto
1673,capa muito boa celular película inclusa péssima qualidade
1675,Não abri caixa ainda
1676,produto alta qualidade adorei
1677,Não posso avaliar não recebi
1678,Muito obrigada
1679,Produto muito frágil
1681,Ótima entrega rápida objetiva
1682,Veio quebrado faltando peça
1683,Recebi produto modelo Desatenção parte distribuidor
1684,Gostei bastante tecido bem macio
1688,produto muito bom obrigada
1690,Mudarei avaliação der
1693,Relógio comprei replica original
1695,chegou obrigada caixa embalagem amassada presente
1696,OTIMO
1700,Produto entregue conforme contratado
1704,Segunda compra loja muito satisfeito Produtos chegaram rapidamente Recomendo
1708,Adorei produtos somente achei muito ruim ter pagar fretes mesmo produto mesmo vendedor
1710,Gostei som mt bom
1712,Entrega antes prazo Otimo
1713,Há varios anos compro loja stark até agora tenho reclamar
1719,Ainda não recebi produto
1724,lannister parabéns entrega super rápida
1725,Balança ótima qualidade tem suprido necessidade eficiência
1727,Produto veio diferente anuncuado Liguei só esperando código devolução produto reembolso valor pago
1728,Parabéns entrega antes data prevista produto bom barato som produto muito bom corrir não incomodo não ficou caindo folgando ouvido olha corrir km recomendo
1733,Loja totalmente confiável produto entregue antes prazo trajeto produto informado corretamente Produto entregue perfeitas condições uso exatamente como solicitado
1734,Produto bom entrega rápida
1736,Falta respeito consumidor produto mal embalado vidros lacre vazando recebi autorização devolução mesmo reclamado dia entrega pior terei levar correio
1739,Bom
1742,Melhor preço entrega super rápida fregues muito tempo loja totalmente confiável
1746,melhor loja fazer compras
1752,Bom
1753,Lojas lannister cumpre prazo mercadoria correto certinho único problema nome incorreto não
1761,Entrega super rápida Produto acordo características descritas site Excelente
1762,Pensei defletor grande placa pequenas peças encaixam sinceramente não gostei mercado há opção peça única mais bonita melhor design
1764,não fiquei satisfeito material produto
1765,SUPER RECOMENDO PRODUTO LOJA CERTINHO ANTES PRAZO PREVISTO
